Zip,Winner,RentBefore,RentAfter,RentLowered,Complainer,Year,End,Code,Lat,Lon
9724CX,Complainer,"636,62","630,32",,Huurder,2019,CX,9724,53.2135,6.5747
9724CX,Complainer,"658,57","640,82",,Huurder,2019,CX,9724,53.2135,6.5747
9724CX,Defendant,"640,43","640,43",,Huurder,2019,CX,9724,53.2135,6.5747
9724CX,Defendant,"629,62","629,62",,Huurder,2019,CX,9724,53.2135,6.5747
9724CX,Defendant,"706,06","706,06",,Huurder,2019,CX,9724,53.2135,6.5747
9724CX,Complainer,"693,83","672,41",,Huurder,2019,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2019,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2019,CX,9724,53.2135,6.5747
9724CX,Defendant,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Defendant,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Defendant,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Defendant,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Defendant,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2021,CX,9724,53.2135,6.5747
1161BH,Defendant,"713,31","713,31",,Huurder,2018,BH,1161,52.378,4.732
3011AS,Complainer,660,"373,18",,Huurder,2018,AS,3011,51.9218,4.4826
3011AS,Complainer,"750,00","466,07",,Huurder,2020,AS,3011,51.9218,4.4826
4331GL,Complainer,"668,2","559,4",,Huurder,2018,GL,4331,51.5009,3.6201
2352HP,Defendant,"729,9","730,22",,Huurder,2018,HP,2352,52.1588,4.5258
2352HP,Complainer,"730,22","726,58",,Huurder,2020,HP,2352,52.1588,4.5258
2591SZ,Complainer,,,,Huurder,2018,SZ,2591,52.0978,4.3665
7311NW,Complainer,"699,33","629,4",,Huurder,2018,NW,7311,52.2105,5.9675
5038WV,Defendant,,,,Huurder,2018,WV,5038,51.5548,5.0898
3145RS,Defendant,,,,Huurder,2018,RS,3145,51.9383,4.2318
3145RS,Defendant,"508,12","508,12",,Huurder,2019,RS,3145,51.9383,4.2318
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Defendant,"606,66","606,08",,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2018,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2019,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2019,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2019,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2019,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2019,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2019,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2019,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2019,EV,1062,52.3498,4.839
1062EV,Complainer,,,,Huurder,2019,EV,1062,52.3498,4.839
