Zip,Winner,RentBefore,RentAfter,RentLowered,Complainer,Year
2037LC,Complainer,0,0,,Huurder,2018
7691BK,Defendant,,,,Huurder,2018
9718BB,Complainer,,,,Huurder,2018
5701TV,Defendant,"308,08","308,08",,Huurder,2018
2593HC,Defendant,"443,82","443,82",,Huurder,2018
2522BW,Complainer,685,274,,Huurder,2018
6824KK,Defendant,,,,Huurder,2018
5211NB,Complainer,700,"538,66",,Huurder,2018
5622CD,Complainer,,,,Huurder,2018
5481GK,Defendant,520,520,,Huurder,2018
5021WH,Complainer,"572,8","434,94",,Huurder,2018
2512TG,Complainer,"676,74","203,02",,Huurder,2018
5632EM,Complainer,"501,81","301,09",,Huurder,2018
9716AC,Defendant,710,710,,Huurder,2018
5611RL,Complainer,850,"507,52",,Huurder,2018
2545rd,Defendant,"601,93","601,93",,Huurder,2018
2037LD,Complainer,"593,01","355,81",,Huurder,2018
2037LB,Complainer,"618,24","494,59",,Huurder,2018
2042LB,Defendant,650,143,,Huurder,2018
3551BD,Defendant,500,500,,Huurder,2018
2037XC,Complainer,0,0,,Huurder,2018
2561BH,Defendant,"318,36","318,36",,Huurder,2018
3901GA,Defendant,840,840,,Huurder,2018
2037XB,Complainer,0,0,,Huurder,2018
3075NL,Complainer,"690,08","552,06",,Huurder,2018
2073XB,Complainer,"545,38","327,23",,Huurder,2018
2037XB,Complainer,"621,5","372,9",,Huurder,2018
2037RM,Complainer,"540,83","432,66",,Huurder,2018
9721BB,Complainer,,,,Huurder,2018
2526KW,Complainer,,,,Verhuurder,2018
4814LA,Defendant,"434,04","434,04",,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
3023KK,Defendant,"930,03","930,03",,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
7811JS,Complainer,598,"564,57",,Huurder,2018
1079ZV,Complainer,"468,54","374,83",,Huurder,2018
9642CM,Complainer,"526,44","210,58",,Huurder,2018
8023AX,Complainer,315,"69,3",,Huurder,2018
2332RA,Defendant,585,585,,Huurder,2018
3527TV,Defendant,900,900,,Huurder,2018
1052LA,Defendant,"122,22","122,22",,Huurder,2018
2011LJ,Complainer,"609,2","354,29",,Huurder,2018
1062XD,Complainer,,,,Huurder,2018
6511DK,Complainer,400,220,,Huurder,2018
1087CN,Defendant,"513,08","513,08",,Huurder,2018
1061GJ,Complainer,"399,28","159,71",,Huurder,2018
2563CS,Complainer,375,150,,Huurder,2018
1086VJ,Defendant,711,711,,Huurder,2018
1098EG,Defendant,"280,8","280,8",,Huurder,2018
1068PD,Complainer,"460,77","368,62",,Huurder,2018
3112MN,Complainer,"399,75","159,9",,Huurder,2018
1065NK,Complainer,"678,73","407,24",,Huurder,2018
7514DP,Defendant,,,,Huurder,2018
1065NK,Complainer,"678,73","407,24",,Huurder,2018
1078KT,Complainer,"233,5","233,5",,Huurder,2018
1171ZC,Defendant,"518,87","518,87",,Huurder,2018
1825rr,Defendant,"416,66","416,66",,Huurder,2018
1056ST,Complainer,"472,11","188,84",,Huurder,2018
1056AC,Complainer,"470,51","106,74",,Huurder,2018
3086LK,Defendant,,,,Huurder,2018
3512BE,Complainer,525,"274,98",,Huurder,2018
2572JC,Complainer,515,309,,Huurder,2018
7417TT,Complainer,"641,74","513,4",,Huurder,2018
3145RG,Complainer,,,,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
3039WL,Complainer,"726,13","663,12",,Huurder,2018
1063ZN,Complainer,,,,Huurder,2018
1087GZ,Complainer,"261,42","552,47",,Verhuurder,2018
1024VS,Defendant,1050,1050,,Huurder,2018
3522AW,Complainer,"356,15","142,46",,Huurder,2018
1062GE,Defendant,1000,1000,,Huurder,2018
1074TR,Defendant,"409,15","409,15",,Huurder,2018
9711HK,Defendant,"436,54","436,54",,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
1076BZ,Defendant,,,,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
2582HW,Defendant,695,417,,Huurder,2018
6221BM,Defendant,830,830,,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
1036LB,Defendant,"711,96","711,96",,Huurder,2018
9401AZ,Defendant,563,563,,Huurder,2018
3072JG,Complainer,"634,1","443,87",,Huurder,2018
1507BL,Defendant,"460,91","521,16",,Huurder,2018
9712HX,Complainer,595,"554,22",,Huurder,2018
9718KS,Complainer,,,,Huurder,2018
5301VL,Defendant,0,0,,Huurder,2018
1816MZ,Defendant,,,,Huurder,2018
1079MN,Defendant,,,,Huurder,2018
1106JR,Defendant,400,400,,Huurder,2018
7512BD,Defendant,,,,Huurder,2018
6822CW,Complainer,"609,15","548,24",,Huurder,2018
6511DK,Complainer,480,264,,Huurder,2018
6828GH,Complainer,830,"595,7",,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
3082KK,Defendant,"286,75","286,75",,Huurder,2018
7797HH,Complainer,,,,Huurder,2018
3551BD,Complainer,,,,Huurder,2018
1104TZ,Complainer,1050,"577,5",,Huurder,2018
1033LK,Complainer,"187,96","469,91",,Verhuurder,2018
6431JE,Defendant,,,,Huurder,2018
2037XC,Complainer,"490,79","392,63",,Huurder,2018
1104mt,Defendant,"391,29","391,29",,Huurder,2018
1051KC,Complainer,"396,91","158,76",,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
9715GL,Defendant,"473,23","473,23",,Huurder,2018
1098SX,Defendant,,,,Huurder,2018
1422XB,Defendant,,,,Huurder,2018
8442CV,Complainer,,,,Huurder,2018
1188BB,Complainer,"518,42","311,05",,Huurder,2018
1087KR,Defendant,"543,58","543,58",,Huurder,2018
1106JR,Defendant,400,220,,Huurder,2018
5925DA,Complainer,"338,3","202,98",,Huurder,2018
6714LD,Complainer,276,"258,55",,Huurder,2018
6461TB,Defendant,"581,4","581,4",,Huurder,2018
8931CD,Complainer,"332,01","132,8",,Huurder,2018
4817JL,Defendant,625,625,,Huurder,2018
1063CT,Complainer,,,,Huurder,2018
9933SB,Defendant,"563,07","563,07",,Huurder,2018
6846LG,Complainer,"572,35","457,88",,Huurder,2018
3073BJ,Defendant,"296,22","296,22",,Huurder,2018
3073BB,Complainer,520,208,,Huurder,2018
9727BW,Defendant,472,472,,Huurder,2018
1069RC,Defendant,800,800,,Huurder,2018
3075NL,Complainer,"687,27","549,82",,Huurder,2018
1103ET,Defendant,"505,96","505,96",,Huurder,2018
1052CN,Complainer,"223,2","223,2",,Huurder,2018
3853TG,Defendant,"871,84","871,84",,Huurder,2018
3034PW,Complainer,,,,Huurder,2018
3454AJ,Defendant,575,575,,Huurder,2018
3554HE,Complainer,"265,97","205,24",,Huurder,2018
6811MB,Complainer,,,,Huurder,2018
9717BX,Complainer,,,,Huurder,2018
2037RL,Complainer,"628,76","503,01",,Huurder,2018
1063ZA,Complainer,,,,Huurder,2018
1097CW,Defendant,"461,87","461,87",,Huurder,2018
1057PP,Complainer,"512,5","307,5",,Huurder,2018
7207PG,Defendant,"587,89","587,89",,Huurder,2018
1601EE,Complainer,336,336,,Huurder,2018
9711EA,Complainer,,,,Huurder,2018
3551HB,Defendant,"572,45","572,45",,Huurder,2018
3513EW,Complainer,,,,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
2011EN,Complainer,720,504,,Huurder,2018
7206EH,Defendant,"710,68","710,68",,Huurder,2018
6221XH,Complainer,267,"211,37",,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
4731KG,Defendant,"593,71","593,71",,Huurder,2018
3513EW,Complainer,,,,Huurder,2018
3011KG,Complainer,,,,Huurder,2018
2036NJ,Defendant,0,0,,Huurder,2018
1063CR,Complainer,,,,Huurder,2018
3034HJ,Defendant,"611,51","611,51",,Huurder,2018
1057ZH,Defendant,"232,39","232,39",,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
6524KM,Complainer,300,240,,Huurder,2018
8023AX,Complainer,315,"69,3",,Huurder,2018
6833AE,Complainer,"98,17","182,1",,Verhuurder,2018
2597BH,Complainer,"686,68","274,67",,Huurder,2018
9712HP,Complainer,,,,Huurder,2018
6211AZ,Complainer,330,"187,3",,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
4623TS,Defendant,449,449,,Huurder,2018
1075PE,Complainer,"378,48","151,39",,Huurder,2018
1504CC,Defendant,"480,8","480,8",,Huurder,2018
1013DK,Defendant,"693,04","693,04",,Huurder,2018
1098TA,Defendant,,,,Huurder,2018
6229EA,Complainer,,,,Huurder,2018
1507CX,Defendant,"641,04","640,04",,Huurder,2018
6524GL,Complainer,270,54,,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
1024VS,Defendant,1100,1100,,Huurder,2018
2037LD,Complainer,"503,76","403,01",,Huurder,2018
3073BJ,Complainer,"604,64","483,71",,Huurder,2018
1624CT,Defendant,"383,04","383,04",,Huurder,2018
9861AK,Complainer,,,,Huurder,2018
9293LS,Complainer,710,284,,Huurder,2018
6211KN,Complainer,,,,Huurder,2018
6441AX,Complainer,,,,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
7609EN,Defendant,"652,24","652,24",,Huurder,2018
7511BS,Complainer,,,,Huurder,2018
1063ZN,Complainer,,,,Huurder,2018
2021VE,Complainer,700,385,,Huurder,2018
1097NH,Complainer,516,"206,4",,Huurder,2018
6533SX,Complainer,630,"335,39",,Huurder,2018
1015VT,Defendant,1400,1400,,Huurder,2018
6541SN,Complainer,230,"225,75",,Huurder,2018
3562KX,Complainer,355,"268,81",,Huurder,2018
1055DV,Defendant,"684,64","684,64",,Huurder,2018
2011DX,Defendant,"425,17","425,17",,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
1017TM,Defendant,"497,78","199,11",,Huurder,2018
3024EB,Defendant,"729,81","729,81",,Huurder,2018
1091NT,Defendant,"568,27","568,27",,Huurder,2018
1076CR,Defendant,"406,75","406,75",,Huurder,2018
7557DN,Defendant,,,,Huurder,2018
1074CM,Complainer,"412,22","164,89",,Huurder,2018
1078VA,Complainer,"706,83","282,73",,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
1063ZB,Complainer,,,,Huurder,2018
1078AK,Defendant,"727,26","727,26",,Huurder,2018
6901MN,Defendant,"697,98","697,98",,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
6171EE,Complainer,"587,5",235,,Huurder,2018
2032VK,Complainer,1100,"580,12",,Huurder,2018
1057CH,Complainer,1200,700,,Huurder,2018
3522BX,Complainer,240,"114,95",,Huurder,2018
4811LM,Defendant,"698,24","698,24",,Huurder,2018
1013HT,Defendant,"479,16","479,16",,Huurder,2018
9716AV,Complainer,,,,Huurder,2018
3086KM,Complainer,668,"267,2",,Huurder,2018
1063XP,Complainer,,,,Huurder,2018
3601VB,Defendant,"432,13","432,13",,Huurder,2018
1062XE,Complainer,,,,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
2905VA,Complainer,,,,Huurder,2018
1015HZ,Complainer,"492,53","197,01",,Huurder,2018
2583XJ,Defendant,775,775,,Huurder,2018
6131CK,Complainer,,,,Huurder,2018
1057PN,Complainer,"549,49","219,8",,Huurder,2018
6833HS,Complainer,,,,Huurder,2018
1053JJ,Defendant,"294,45","294,45",,Huurder,2018
4827JC,Complainer,"597,71","478,17",,Huurder,2018
9743HD,Complainer,"248,4","248,4",,Huurder,2018
4691EE,Defendant,"476,19","476,19",,Huurder,2018
5953JL,Defendant,499,499,,Huurder,2018
3023rx,Complainer,0,0,,Huurder,2018
2021XG,Complainer,710,530,,Huurder,2018
5061MB,Defendant,,,,Verhuurder,2018
2037LC,Complainer,"542,4","433,92",,Huurder,2018
2563KZ,Complainer,"727,26","616,43",,Huurder,2018
1431ZX,Defendant,"888,91","888,91",,Huurder,2018
1324DP,Complainer,210,"96,48",,Huurder,2018
1103BG,Defendant,"543,76","543,76",,Huurder,2018
1087kr,Complainer,"650,46","520,37",,Huurder,2018
7557SJ,Complainer,"619,55","247,82",,Huurder,2018
6542XM,Complainer,695,"287,25",,Huurder,2018
2032RR,Defendant,"603,01","603,01",,Huurder,2018
1054HC,Defendant,"762,38","762,38",,Huurder,2018
6541SN,Complainer,230,"221,66",,Huurder,2018
1055BP,Complainer,,,,Huurder,2018
1062GA,Defendant,"1189,02","823,84",,Huurder,2018
1052XT,Complainer,"493,97","197,59",,Huurder,2018
9718CN,Complainer,"329,9","209,32",,Huurder,2018
6521LG,Complainer,,,,Huurder,2018
3514AL,Complainer,,,,Huurder,2018
6535LR,Defendant,"523,09","523,09",,Huurder,2018
1095CP,Complainer,,,,Huurder,2018
1018AT,Defendant,"465,26","465,26",,Huurder,2018
1015HP,Complainer,"74,86","74,86",,Huurder,2018
1019HM,Defendant,1400,1400,,Huurder,2018
9718BB,Complainer,585,"528,28",,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
2036NK,Defendant,"508,83","508,83",,Huurder,2018
1058TR,Complainer,500,"176,5",,Huurder,2018
5212PH,Complainer,"547,43","437,94",,Huurder,2018
1107TG,Defendant,"327,11","327,11",,Huurder,2018
6524RP,Complainer,,,,Huurder,2018
1072TX,Defendant,"592,55","592,55",,Huurder,2018
2565KX,Defendant,"561,22","561,22",,Huurder,2018
1073ED,Complainer,1250,690,,Huurder,2018
3891CB,Complainer,,,,Huurder,2018
1062XG,Complainer,"686,16","559,4",,Huurder,2018
1067XW,Defendant,840,840,,Huurder,2018
1054HD,Complainer,"637,07","382,24",,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
9712BS,Complainer,,,,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
1016RX,Complainer,,,,Huurder,2018
1069XX,Defendant,"533,34","533,34",,Huurder,2018
1063CR,Complainer,,,,Huurder,2018
2572JC,Complainer,515,"424,56",,Huurder,2018
1015SR,Defendant,"213,91","213,91",,Huurder,2018
1098SX,Defendant,,,,Huurder,2018
1076BZ,Complainer,"577,91","231,16",,Huurder,2018
1068EJ,Defendant,"369,19","369,19",,Huurder,2018
2586RT,Complainer,980,"414,2",,Huurder,2018
3066RD,Complainer,,,,Huurder,2018
9717CK,Complainer,,,,Huurder,2018
3531KS,Complainer,"710,67","689,96",,Huurder,2018
1012NK,Complainer,"270,94","108,38",,Huurder,2018
9712NK,Complainer,630,"383,08",,Huurder,2018
1016RX,Complainer,"606,52","569,76",,Huurder,2018
2332BH,Complainer,"273,78","164,27",,Huurder,2018
6524KM,Complainer,252,"201,6",,Huurder,2018
9715CB,Defendant,350,350,,Huurder,2018
1011JA,Defendant,"434,45","434,45",,Huurder,2018
9716BG,Defendant,"522,59","522,59",,Huurder,2018
1018GS,Complainer,"532,42","212,97",,Huurder,2018
1072TX,Defendant,"592,55","592,55",,Huurder,2018
6828JJ,Complainer,490,"435,72",,Huurder,2018
8023AX,Complainer,320,"70,4",,Huurder,2018
6828EN,Defendant,,,,Huurder,2018
3432EE,Defendant,"318,21","318,21",,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
9743KW,Complainer,,,,Huurder,2018
7606CV,Complainer,400,400,,Verhuurder,2018
3811NP,Complainer,395,158,,Huurder,2018
9725EH,Complainer,,,,Huurder,2018
6216SX,Complainer,,,,Huurder,2018
2515TR,Complainer,491,"196,4",,Huurder,2018
7553EC,Defendant,,,,Huurder,2018
7741RL,Complainer,"466,56","279,94",,Huurder,2018
3075NZ,Complainer,"186,41","466,02",,Verhuurder,2018
1822MB,Defendant,895,895,,Huurder,2018
2717DZ,Complainer,"385,77","154,31",,Huurder,2018
2036NH,Defendant,"642,34","642,34",,Huurder,2018
3081CH,Defendant,690,690,,Huurder,2018
9724NP,Complainer,,,,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
1068ZX,Defendant,1623,1623,,Huurder,2018
1053VX,Defendant,"773,77","773,77",,Huurder,2018
5612PZ,Complainer,"378,51","151,4",,Huurder,2018
1628GD,Defendant,"667,25","667,25",,Huurder,2018
1071XK,Complainer,"142,31","142,31",,Verhuurder,2018
6524KM,Complainer,275,220,,Huurder,2018
1074VL,Defendant,"472,5","472,5",,Huurder,2018
1025DX,Defendant,450,450,,Huurder,2018
3073DR,Complainer,"451,16","445,32",,Huurder,2018
7412BE,Defendant,"645,6","645,6",,Huurder,2018
6717HR,Complainer,690,"491,97",,Huurder,2018
3572RC,Complainer,,,,Huurder,2018
1082BJ,Complainer,"418,16","696,93",,Verhuurder,2018
3527TW,Defendant,890,890,,Huurder,2018
1391DR,Complainer,"710,68","426,41",,Huurder,2018
2021HZ,Complainer,"728,99","383,12",,Huurder,2018
3317LG,Defendant,,,,Huurder,2018
1825LB,Complainer,"265,97",522,,Verhuurder,2018
1063XP,Complainer,,,,Huurder,2018
7417TR,Defendant,"569,8","569,8",,Huurder,2018
3734HA,Complainer,760,"668,27",,Huurder,2018
3353GX,Defendant,"604,58","604,58",,Huurder,2018
3069VG,Defendant,,,,Huurder,2018
7314GV,Complainer,700,"635,62",,Huurder,2018
3083SH,Defendant,"557,52","557,52",,Huurder,2018
8021DA,Complainer,,,,Huurder,2018
9712LH,Complainer,"375,15","225,09",,Huurder,2018
1087DE,Defendant,,,,Huurder,2018
9725BE,Defendant,705,705,,Huurder,2018
9712HP,Complainer,,,,Huurder,2018
2611AK,Complainer,500,"491,97",,Huurder,2018
3081CH,Defendant,690,690,,Huurder,2018
2231ZB,Defendant,"558,4","558,4",,Verhuurder,2018
3442HH,Defendant,"431,79","431,79",,Huurder,2018
9714JN,Complainer,,,,Huurder,2018
1191AK,Defendant,955,955,,Huurder,2018
1825RM,Complainer,"592,77","237,11",,Huurder,2018
1111AD,Defendant,1200,1200,,Huurder,2018
1012VB,Complainer,"420,97","336,78",,Huurder,2018
6511DK,Complainer,400,"219,48",,Huurder,2018
1011JA,Complainer,"816,54","489,92",,Huurder,2018
2518CE,Complainer,,,,Huurder,2018
4827MA,Complainer,"262,79","656,97",,Verhuurder,2018
1076CK,Complainer,,,,Huurder,2018
1015XP,Complainer,"479,79","383,83",,Huurder,2018
9718CN,Complainer,335,"268,81",,Huurder,2018
1622DB,Complainer,"628,61","251,44",,Huurder,2018
1015JD,Defendant,"554,6","554,6",,Huurder,2018
1015KZ,Complainer,"516,08","206,43",,Huurder,2018
1622CX,Defendant,"695,05","695,05",,Huurder,2018
1702EK,Defendant,"635,03","635,03",,Huurder,2018
3401CT,Defendant,740,740,,Huurder,2018
1095TG,Defendant,"627,3","627,3",,Huurder,2018
2011NZ,Defendant,,,,Huurder,2018
1183AN,Defendant,"549,14","549,14",,Huurder,2018
1339EK,Defendant,"647,33","647,33",,Huurder,2018
1013LL,Complainer,1425,"783,75",,Huurder,2018
1053AS,Complainer,,,,Huurder,2018
3052JP,Defendant,,,,Huurder,2018
3069AG,Defendant,,,,Huurder,2018
3037VM,Defendant,"481,94","481,94",,Huurder,2018
1422TZ,Defendant,0,0,,Huurder,2018
3082BP,Complainer,"356,91","214,15",,Huurder,2018
7417ZA,Complainer,630,"559,4",,Huurder,2019
8601BB,Complainer,465,"195,56",,Huurder,2019
1051JH,Defendant,925,925,,Huurder,2019
8911JG,Defendant,"690,79","690,79",,Huurder,2019
7417ZA,Complainer,575,"533,47",,Huurder,2019
8911JG,Defendant,"674,94","674,94",,Huurder,2019
1072HG,Defendant,"558,87","558,87",,Huurder,2019
1024WC,Defendant,"585,21","585,21",,Huurder,2019
7417ZA,Complainer,630,"569,76",,Huurder,2019
2311VA,Complainer,"469,71","281,83",,Huurder,2019
1092GC,Defendant,"454,25","454,25",,Huurder,2019
9717BT,Complainer,,,,Huurder,2019
7417ZA,Complainer,620,"559,4",,Huurder,2019
9717BT,Complainer,,,,Huurder,2019
9717BT,Complainer,,,,Huurder,2019
7417ZA,Complainer,520,"502,36",,Huurder,2019
1072HJ,Defendant,"259,14","259,14",,Huurder,2019
9717BT,Complainer,,,,Huurder,2019
9711HZ,Complainer,"375,22","268,81",,Huurder,2019
1074AJ,Complainer,"354,16","283,33",,Huurder,2019
1013MN,Complainer,,,,Huurder,2019
6814EE,Complainer,"432,78","129,83",,Huurder,2019
9716AD,Defendant,310,"170,5",,Huurder,2019
495,Defendant,"646,4","646,4",,Huurder,2019
2036SK,Complainer,,,,Huurder,2019
1102DT,Complainer,"672,05","403,23",,Huurder,2019
1328SP,Defendant,0,0,,Huurder,2019
1072NA,Complainer,"171,51","571,69",,Verhuurder,2019
1015LC,Defendant,,,,Huurder,2019
2011NZ,Defendant,"565,08","565,08",,Huurder,2019
1055JT,Defendant,500,500,,Huurder,2019
1056DZ,Defendant,"477,25","477,25",,Huurder,2019
1023VK,Defendant,,,,Huurder,2019
1071VR,Defendant,"692,33","692,33",,Huurder,2019
1091TG,Complainer,,,,Huurder,2019
1023VL,Defendant,,,,Huurder,2019
1013MT,Complainer,,,,Huurder,2019
1092CK,Complainer,"650,42","390,52",,Huurder,2019
9715HL,Complainer,895,"533,47",,Huurder,2019
3612AJ,Defendant,"244,5","244,5",,Huurder,2019
2242LC,Complainer,"473,74","331,62",,Huurder,2019
5751KT,Defendant,674,"539,2",,Huurder,2019
3824CL,Complainer,"502,8","201,12",,Huurder,2019
1072AE,Defendant,"221,46","221,46",,Huurder,2019
1161AV,Defendant,"690,95","690,95",,Huurder,2019
3521CP,Complainer,,,,Huurder,2019
3572TH,Complainer,,,,Huurder,2019
3552AC,Complainer,"254,48","253,87",,Huurder,2019
3552AC,Complainer,,,,Huurder,2019
3552AC,Complainer,250,"218,52",,Huurder,2019
3552AC,Complainer,,,,Huurder,2019
3552AC,Complainer,"266,32","228,91",,Huurder,2019
3552AC,Complainer,,,,Huurder,2019
3552AC,Complainer,"258,9","237,2",,Huurder,2019
3552AC,Complainer,,,,Huurder,2019
3552AC,Complainer,"254,58","241,38",,Huurder,2019
3552AC,Complainer,,,,Huurder,2019
3514VR,Complainer,340,"26,28",,Huurder,2019
3514VR,Complainer,330,"176,5",,Huurder,2019
9401BG,Complainer,,,,Huurder,2019
1075AJ,Defendant,"432,29","432,29",,Huurder,2019
3523SW,Defendant,"710,68","710,68",,Huurder,2019
3704NH,Defendant,"444,71","444,71",,Huurder,2019
3514VR,Complainer,340,"242,16",,Huurder,2019
3514VR,Complainer,340,"205,24",,Huurder,2019
9715BG,Defendant,685,685,,Huurder,2019
9401BG,Complainer,,,,Huurder,2019
5622NB,Defendant,510,510,,Huurder,2019
5627NT,Defendant,"615,77","615,77",,Huurder,2019
5632SR,Defendant,"528,75","528,75",,Huurder,2019
5622NB,Defendant,520,520,,Huurder,2019
6212XG,Complainer,"467,77","280,66",,Huurder,2019
5231WP,Defendant,"699,48","699,48",,Huurder,2019
6211KL,Complainer,,,,Huurder,2019
3011XM,Complainer,"635,96","381,58",,Huurder,2019
6214TT,Defendant,,,,Huurder,2019
3514HG,Defendant,"205,96","205,96",,Huurder,2019
3514HG,Defendant,"268,3","268,3",,Huurder,2019
6143AD,Defendant,"204,8","204,8",,Verhuurder,2019
5141HK,Complainer,,,,Huurder,2019
6221XH,Complainer,"574,27","229,71",,Huurder,2019
9716AD,Defendant,320,176,,Huurder,2019
9745AH,Complainer,600,"517,91",,Huurder,2019
9717JA,Complainer,330,"181,5",,Huurder,2019
9712TX,Complainer,530,"291,5",,Huurder,2019
1097zv,Defendant,"586,32","586,32",,Huurder,2019
6461GL,Complainer,"367,36","146,94",,Huurder,2019
2612CG,Complainer,,,,Huurder,2019
3022BD,Complainer,895,"471,24",,Huurder,2019
6524RP,Complainer,,,,Huurder,2019
3071NA,Complainer,995,"507,52",,Huurder,2019
2518SB,Complainer,550,165,,Huurder,2019
2548VK,Defendant,"712,46","712,46",,Huurder,2019
2571EN,Defendant,680,680,,Huurder,2019
6811GE,Complainer,"541,05","216,42",,Huurder,2019
6161EB,Complainer,"601,16","360,7",,Huurder,2019
2622EG,Defendant,,,,Huurder,2019
2515TE,Complainer,"665,93","266,37",,Huurder,2019
6826JJ,Defendant,"637,62","637,62",,Huurder,2019
1057CE,Complainer,"473,65","189,46",,Huurder,2019
3022BD,Complainer,995,"476,44",,Huurder,2019
6811JP,Defendant,"227,13","227,13",,Huurder,2019
9673GV,Complainer,,,,Huurder,2019
6418VC,Defendant,"529,98","529,98",,Huurder,2019
6512EK,Defendant,655,655,,Huurder,2019
2612AZ,Complainer,290,"207,27",,Huurder,2019
2612AZ,Complainer,265,"174,46",,Huurder,2019
2612AZ,Complainer,305,"201,13",,Huurder,2019
9716CX,Complainer,635,"535,68",,Huurder,2019
6211PW,Complainer,"346,79","311,91",,Huurder,2019
6836PJ,Defendant,"533,51","533,51",,Huurder,2019
9673GV,Complainer,,,,Huurder,2019
9722EW,Complainer,"144,62","130,16",,Huurder,2019
9718BW,Defendant,780,780,,Huurder,2019
6811HG,Complainer,845,"580,12",,Huurder,2019
2562GX,Complainer,"308,37","246,54",,Huurder,2019
3515BC,Complainer,"536,52","554,52",,Huurder,2019
3051PP,Complainer,950,"225,83",,Huurder,2019
3438AC,Defendant,,,,Huurder,2019
9741KP,Defendant,"418,84","418,84",,Huurder,2019
1071PP,Complainer,"707,3","565,84",,Huurder,2019
1053HM,Defendant,"419,82","419,82",,Huurder,2019
1056EK,Complainer,"662,81","662,81",,Huurder,2019
1507EA,Complainer,"642,5",514,,Huurder,2019
6538XL,Defendant,524,524,,Huurder,2019
6822GD,Defendant,"557,66","557,66",,Huurder,2019
3431HA,Defendant,730,730,,Huurder,2019
3564VH,Defendant,"646,99","646,99",,Huurder,2019
3706AA,Complainer,367,"146,8",,Huurder,2019
9713LW,Defendant,"583,92","583,92",,Huurder,2019
7811RB,Defendant,"552,72","552,72",,Huurder,2019
9717BN,Complainer,300,"190,85",,Huurder,2019
1324HS,Defendant,"843,44","843,44",,Huurder,2019
3527GN,Defendant,980,980,,Huurder,2019
6414RB,Complainer,"573,75",459,,Huurder,2019
1058TR,Complainer,550,"235,99",,Huurder,2019
1181MD,Complainer,"555,54","333,32",,Huurder,2019
1057WG,Complainer,690,276,,Huurder,2019
2614HT,Complainer,"626,84","491,97",,Huurder,2019
1024SK,Complainer,,,,Huurder,2019
3572HN,Complainer,305,"254,44",,Huurder,2019
3531KR,Complainer,925,"585,31",,Huurder,2019
3551AX,Complainer,"268,68","203,17",,Huurder,2019
3551AX,Complainer,,,,Huurder,2019
3551AX,Complainer,"366,74","309,83",,Huurder,2019
3551AX,Complainer,"259,95","190,85",,Huurder,2019
3551AX,Complainer,,,,Huurder,2019
3551AX,Complainer,"257,05","203,17",,Huurder,2019
3551AX,Complainer,,,,Huurder,2019
3551AX,Complainer,"268,86","178,56",,Huurder,2019
1071VN,Complainer,"437,2","262,32",,Huurder,2019
1353AE,Complainer,"433,07","570,34",,Verhuurder,2019
2022VD,Complainer,"488,99","293,39",,Huurder,2019
1353BW,Defendant,"596,34","569,34",,Huurder,2019
1055HN,Defendant,"378,25","378,25",,Huurder,2019
1055XZ,Complainer,"577,66","346,6",,Huurder,2019
2612AZ,Complainer,290,210,,Huurder,2019
2562HR,Complainer,645,"481,61",,Huurder,2019
2614AW,Defendant,100,100,,Huurder,2019
5224VK,Defendant,"701,34","701,34",,Huurder,2019
1073BG,Complainer,,,,Huurder,2019
5224VN,Defendant,"710,68","710,68",,Huurder,2019
5213BW,Defendant,"500,18","500,18",,Huurder,2019
2513TK,Complainer,700,280,,Huurder,2019
1093JM,Complainer,"571,75","457,4",,Huurder,2019
1077TG,Complainer,"1202,83","962,26",,Huurder,2019
1032JE,Complainer,"661,74","529,39",,Huurder,2019
3085CS,Complainer,"480,37","441,03",,Huurder,2019
3023VV,Defendant,"473,91","473,91",,Huurder,2019
4616AD,Complainer,"708,77","567,02",,Huurder,2019
3582AP,Complainer,"350,00","140,00",,Huurder,2019
2521AA,Defendant,"532,00","598,50",,Verhuurder,2019
