Zip,Winner,RentBefore,RentAfter,RentLowered,Complainer,Year
2548HH,Defendant,1196,"1223,1",,Huurder,2018
9718JG,Complainer,,,,Huurder,2018
4702EA,Defendant,"414,02","414,02",,Huurder,2018
2511ED,Complainer,369,"147,6",,Huurder,2018
1211JD,Complainer,"779,47","311,79",,Huurder,2018
5011MG,Defendant,"645,85","645,85",,Huurder,2018
7201JA,Defendant,870,870,,Huurder,2018
4707KT,Defendant,"745,64","745,64",,Huurder,2018
3202TE,Defendant,"573,22","573,22",,Huurder,2018
3553CR,Complainer,,,,Huurder,2018
5037DK,Complainer,710,"609,29",,Huurder,2018
3085PC,Complainer,"682,86","614,57",,Huurder,2018
2513CP,Complainer,640,"523,08",,Huurder,2018
7201EG,Defendant,"814,56","814,56",,Huurder,2018
9713KM,Complainer,,,,Huurder,2018
3023ER,Complainer,,,,Huurder,2018
4931NJ,Defendant,"799,8","799,8",,Huurder,2018
3532HH,Complainer,672,"335,39",,Huurder,2018
9721AB,Complainer,710,"574,94",,Huurder,2018
4661GJ,Defendant,"710,54","710,54",,Huurder,2018
4334BA,Complainer,635,"531,87",,Huurder,2018
4731VN,Complainer,"558,65","223,46",,Huurder,2018
2522GG,Complainer,,,,Huurder,2018
3082BH,Complainer,"566,51","226,6",,Huurder,2018
2317CH,Complainer,,,,Huurder,2018
9743NM,Complainer,,,,Huurder,2018
2624SJ,Defendant,0,0,,Huurder,2018
5397BB,Defendant,"605,88","605,88",,Huurder,2018
5014HA,Complainer,816,"569,76",,Huurder,2018
2804ZV,Complainer,"620,32","372,19",,Huurder,2018
3023ER,Complainer,,,,Huurder,2018
9741PB,Complainer,,,,Huurder,2018
3332XH,Defendant,,,,Huurder,2018
5375AH,Defendant,"395,3","395,3",,Huurder,2018
3085PC,Complainer,"583,56","525,2",,Huurder,2018
2545HT,Defendant,"396,23","396,23",,Huurder,2018
9642GH,Complainer,"638,54","676,52",,Huurder,2018
1097KR,Complainer,"708,68","283,47",,Huurder,2018
3066KD,Defendant,"638,74","638,74",,Huurder,2018
5911JT,Complainer,350,180,,Huurder,2018
1403NB,Defendant,"566,14","566,14",,Huurder,2018
1815CG,Defendant,475,475,,Huurder,2018
3022EJ,Complainer,510,204,,Huurder,2018
5345PN,Defendant,"714,43","714,43",,Huurder,2018
3356XP,Complainer,723,"657,91",,Huurder,2018
5616GL,Complainer,775,"528,28",,Huurder,2018
2562HR,Complainer,,,,Huurder,2018
1035HM,Complainer,"711,72","427,03",,Huurder,2018
3882PJ,Defendant,600,600,,Huurder,2018
3527GN,Defendant,980,980,,Huurder,2018
3905RD,Defendant,,,,Huurder,2018
3031PL,Defendant,"499,73","499,73",,Huurder,2018
3708ZP,Complainer,400,160,,Huurder,2018
1072CA,Complainer,1296,"712,8",,Huurder,2018
1066DW,Defendant,"618,28","618,28",,Huurder,2018
2311VT,Complainer,,,,Huurder,2018
3317NB,Defendant,,,,Huurder,2018
3042XN,Defendant,"823,94","823,94",,Huurder,2018
1064GX,Complainer,,,,Huurder,2018
